Entity,Year,Area Harvested,Production,Yield,Population,Area Harvested Index (1961=100),Production Index (1961=100),Yield Index (1961=100),Population Index (1961=100),Area Harvested YOY Change,Production YOY Change,Yield YOY Change,Population YOY Change
World,1961,647997184,876874500,1.3532,3064869675,100.0,100.0,100.0,100.0,,,,
World,1962,653839488,933372900,1.4275,3123374312,100.9015940414951,106.44315691698185,105.49068873780669,101.90887845826593,0.9015940414951018,6.4431569169818514,5.490688737806693,1.908878458265928
World,1963,659234432,949345860,1.4401001,3192807826,101.73415074593903,108.26473571759698,106.42182234702926,104.17434229075336,0.8251174942801809,1.711316023852838,0.8826690017513128,2.223028912456515
World,1964,670231872,1001214000,1.4938002,3264487343,103.43129392364767,114.17985127860373,110.39020100502512,106.51308829306095,1.668213835044341,5.463566249712204,3.7289143997698337,2.245030734900233
World,1965,667195136,998593000,1.4967,3334533710,102.9626597883487,113.88094875606487,110.6044930535028,108.7985481797036,-0.4530873757074949,-0.2617821964135514,0.19412234648248372,2.1457080282513363
World,1966,669678976,1078340200,1.6102,3404041131,103.34597009606759,122.97543148991103,118.99201891812001,111.06642343609603,0.37228089144822896,7.985956240430281,7.583350036747527,2.084471984540226
World,1967,679890944,1124081300,1.6533002,3473412877,104.92189793219842,128.19181080074742,122.17707655926692,113.32987191372175,1.5249049717815932,4.241806064542519,2.676698546764378,2.037923260334429
World,1968,684204608,1160679000,1.6964,3545187246,105.5875897139701,132.3654639289887,125.36210464085131,115.67171272951435,0.6344641060552103,3.2557876374244454,2.606894984951902,2.066393243235498
World,1969,685279104,1170980100,1.7088001,3619491581,105.75340771851256,133.54021584616726,126.27845846881468,118.09610080728801,0.15704308147541646,0.8875063648088766,0.7309655741570387,2.0959213108937114
World,1970,675463488,1192507600,1.7655001,3694683794,104.23864558028697,135.99524219258285,130.46852645580844,120.5494584039695,-1.4323530285260233,1.8384172369795282,3.31811778334985,2.077424724364896
World,1971,686870080,1299667700,1.8922,3769847867,105.9989297731269,148.21593055790765,139.8315104936447,123.00189785394382,1.6887059334286247,8.986114637759957,7.176431199295896,2.0343844613188056
World,1972,677270400,1258478700,1.8582001,3844917684,104.51749123650514,143.5186791268306,137.31895506946498,125.45126193661073,-1.3975976359313802,-3.1691947103094087,-1.7968449423951038,1.9913221872197129
World,1973,699334848,1357015200,1.9404001,3920805041,107.92251344104606,154.75592003188598,143.39344516701152,127.92730056295134,3.257849154488368,7.82981070716573,4.423635538497717,1.9737056352543858
World,1974,700898880,1326549500,1.8926,3996416100,108.16387745289956,151.28156879918393,139.8610700561632,130.39432418933114,0.2236456547922483,-2.2450522293339104,-2.4634146328893713,1.9284575032253004
World,1975,710954368,1359804000,1.9126,4070735279,109.71565703594169,155.07395870218602,141.3390481820869,132.81919659438702,1.4346560234195227,2.5068419987342994,1.0567473317129927,1.8596456710300968
World,1976,722485248,1463711100,2.0259001,4144246382,111.49512155904677,166.9236703770038,149.71180165533548,135.217703245408,1.621887496441965,7.6413291915599535,5.92387849001359,1.8058433664116524
World,1977,719085312,1456344200,2.0253,4217863796,110.97043779745808,166.0835387504141,149.66745492166717,137.61967859204321,-0.4705889856452816,-0.5033028717210675,-0.029621401371160427,1.7763763834058643
World,1978,714992384,1582019600,2.2126002,4292097499,110.33881036124997,180.41573794197458,163.50873485072418,140.0417621020052,-0.5691853152467119,8.629512171641851,9.24802251518293,1.759983408435306
World,1979,706546752,1537501600,2.1761003,4368539520,109.03546642573063,175.33884267360952,160.81143216080403,142.53589820258833,-1.1812198547837993,-2.813998006092966,-1.6496382853079306,1.780994514169576
World,1980,717195648,1549912200,2.1611001,4447606240,110.67882171537337,176.75416493466284,159.70293378657996,145.11567249592758,1.5071749986616645,0.8071926559295894,-0.6893156533271827,1.8099119771726402
World,1981,726548096,1632382100,2.2468002,4528777306,112.12210699977364,186.15914820193768,166.0360774460538,147.76410700073242,1.304030221890029,5.320940115188466,3.9655775315544206,1.8250506366768615
World,1982,714356160,1692539900,2.3693001,4612673415,110.24062721852816,193.0196282364238,175.08868607744606,150.501453703737,-1.6780631684430114,3.685276872369525,5.452193746466638,1.8525112482092876
World,1983,704733504,1626946300,2.3086002,4697327573,108.75564298748557,185.53924193256844,170.60302985515813,153.2635338890878,-1.347038989626692,-3.8754536894521685,-2.5619337963983524,1.835251499156909
World,1984,714977664,1786795500,2.4991002,4782175518,110.33653874643998,203.7686692907594,184.68077150458174,156.03193692077625,1.45362182184543,9.825106089856806,8.25175359510062,1.8063024918190118
World,1985,720193280,1821240800,2.5288002,4868943457,111.14142125654669,207.6968596988509,186.87556902157849,158.86298516102485,0.7294795715464542,1.9277695740782974,1.1884277389117903,1.8144030613976403
World,1986,717353024,1834022400,2.5567,4958072839,110.70310824066792,209.154491321164,188.93733372746084,161.77108212602874,-0.3943741324551109,0.7018072514079376,1.1032821019232752,1.8305692556741526
World,1987,697528704,1771529000,2.5397,5049746390,107.64378630386146,202.02765618112971,187.68105232042564,164.76218976586662,-2.763537524308257,-3.4074502034435294,-0.6649196229514764,1.8489754785145474
World,1988,702303424,1727627500,2.4599,5141992540,108.3806290121162,197.02106743895507,181.78391959798995,167.77198005980466,0.684519500433356,-2.4781699876208596,-3.14210339803912,1.8267481745751546
World,1989,711767296,1871355600,2.6292,5234431736,109.84110943296939,213.41202190279222,194.2950044339344,170.78806902286962,1.347547466890897,8.319391767033114,6.882393593235481,1.7977310406599667
World,1990,708073600,1952573800,2.7576003,5327803106,109.27109214104237,222.67425954341243,203.78364617203667,173.83457278652477,-0.5189471363404752,4.340073046512383,4.883626198083069,1.7837919130329727
World,1991,705824064,1893842700,2.6832001,5418735886,108.92394001514674,215.97648238145823,198.2855527638191,176.80151068739977,-0.3176980472086477,-3.0078811873845646,-2.698005218522781,1.7067593938971726
World,1992,707616320,1969182000,2.7828002,5505989815,109.20052393314104,224.56828200614797,205.64589122080994,179.6484157193405,0.25392390135341447,3.978118140434783,3.711989277281247,1.6102266439195212
World,1993,694298560,1901099800,2.7382002,5591544802,107.14530512527661,216.8040922617775,202.35000000000002,182.439887986428,-1.882059475394804,-3.457384843046507,-1.602702199029593,1.5538529832896275
World,1994,696816256,1966857900,2.8226001,5675551258,107.53384014705843,224.30323837675746,208.5870603015075,185.18083507090722,0.3626244018135383,3.4589504454211273,3.0823129733172916,1.5023836698930149
World,1995,683174016,1888057000,2.7637,5758878977,105.42854704751309,215.31667302447502,204.2344073307715,187.899636450284,-1.957795887012137,-4.006435848771794,-2.0867320170505077,1.4681872334875834
World,1996,697911616,2053337000,2.9421003,5842055730,107.70287791867933,234.1654364450101,217.4179943836831,190.61351213897865,2.1572249024178314,8.753972999755844,6.455125375402537,1.4443219475907432
World,1997,701419584,2100410800,2.9945002,5924787819,108.24423335765607,239.53379873630718,221.2902896837127,193.31287941305365,0.5026378583731672,2.2925511009639354,1.7810371726620033,1.4161468637684527
World,1998,679769920,2083172100,3.0645,6007066691,104.90322130782592,237.567873167711,226.4631983446645,195.9974592068095,-3.086549690634244,-0.8207299257840472,2.3376121330697996,1.3887226768888317
World,1999,670167232,2080834400,3.1049001,6089006328,103.42131857165602,237.3012785752123,229.4487215489211,198.6709705038274,-1.4126379702120384,-0.11221828479749396,1.3183259911894396,1.3640540585767802
World,2000,671367680,2059664800,3.0679,6171702992,103.60657369770298,234.88706764765084,226.71445462607153,201.3691819375648,0.1791266332759056,-1.0173611124460469,-1.1916679702512867,1.3581306956395034
World,2001,672489408,2105062700,3.1303003,6254936464,103.77968062280962,240.0643079482868,231.3257685486255,204.08490824328442,0.16708102481191034,2.2041402076687477,2.0339743798689636,1.3486305499128992
World,2002,661615424,2054068000,3.1046002,6337730343,102.10158937974644,234.2488007120745,229.42655926692285,206.7862915900331,-1.6169747613333452,-2.4224789123858392,-0.8210106870577216,1.3236565946995071
World,2003,670800192,2074498000,3.0926003,6420361633,103.51899800848517,236.57866661648845,228.53977978125926,209.4823700130088,1.3882336576240384,0.9946116681628814,-0.3865199776770023,1.3037993970706818
World,2004,676930688,2285780200,3.3767002,6503377774,104.46506631732524,260.6735855587088,249.53445167011532,212.19100528312023,0.9139079077663759,10.18473866930698,9.186440937744212,1.2930134740900767
