Entity,Year,Area Harvested,Production,Yield,Population,Area Harvested Index (1961=100),Production Index (1961=100),Yield Index (1961=100),Population Index (1961=100),Area Harvested Index (1961=0) - Net Change (%),Production Index (1961=0) - Net Change (%),Yield Index (1961=0) - Net Change (%),Population Index (1961=0) - Net Change (%),Area Harvested YOY Change (%),Production YOY Change (%),Yield YOY Change (%),Population YOY Change (%)
World,1961,647997184,876874500,1.3532,3064869675,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,,,,
World,1962,653839488,933372900,1.4275,3123374312,100.9015940414951,106.44315691698185,105.49068873780669,101.90887845826593,0.9015940414951018,6.443156916981849,5.490688737806693,1.9088784582659315,0.9015940414951018,6.4431569169818514,5.490688737806693,1.908878458265928
World,1963,659234432,949345860,1.4401001,3192807826,101.73415074593903,108.26473571759698,106.42182234702926,104.17434229075336,1.7341507459390328,8.264735717596977,6.421822347029263,4.1743422907533585,0.8251174942801809,1.711316023852838,0.8826690017513128,2.223028912456515
World,1964,670231872,1001214000,1.4938002,3264487343,103.43129392364767,114.17985127860373,110.39020100502512,106.51308829306095,3.4312939236476723,14.179851278603735,10.39020100502512,6.513088293060946,1.668213835044341,5.463566249712204,3.7289143997698337,2.245030734900233
World,1965,667195136,998593000,1.4967,3334533710,102.9626597883487,113.88094875606487,110.6044930535028,108.7985481797036,2.9626597883487023,13.880948756064868,10.604493053502793,8.798548179703602,-0.4530873757074949,-0.2617821964135514,0.19412234648248372,2.1457080282513363
World,1966,669678976,1078340200,1.6102,3404041131,103.34597009606759,122.97543148991103,118.99201891812001,111.06642343609603,3.345970096067589,22.97543148991103,18.99201891812001,11.06642343609603,0.37228089144822896,7.985956240430281,7.583350036747527,2.084471984540226
World,1967,679890944,1124081300,1.6533002,3473412877,104.92189793219842,128.19181080074742,122.17707655926692,113.32987191372175,4.921897932198419,28.19181080074742,22.177076559266922,13.329871913721746,1.5249049717815932,4.241806064542519,2.676698546764378,2.037923260334429
World,1968,684204608,1160679000,1.6964,3545187246,105.5875897139701,132.3654639289887,125.36210464085131,115.67171272951435,5.587589713970104,32.3654639289887,25.362104640851314,15.671712729514354,0.6344641060552103,3.2557876374244454,2.606894984951902,2.066393243235498
World,1969,685279104,1170980100,1.7088001,3619491581,105.75340771851256,133.54021584616726,126.27845846881468,118.09610080728801,5.7534077185125625,33.54021584616726,26.278458468814677,18.09610080728801,0.15704308147541646,0.8875063648088766,0.7309655741570387,2.0959213108937114
World,1970,675463488,1192507600,1.7655001,3694683794,104.23864558028697,135.99524219258285,130.46852645580844,120.5494584039695,4.2386455802869705,35.99524219258285,30.468526455808444,20.549458403969496,-1.4323530285260233,1.8384172369795282,3.31811778334985,2.077424724364896
World,1971,686870080,1299667700,1.8922,3769847867,105.9989297731269,148.21593055790765,139.8315104936447,123.00189785394382,5.998929773126903,48.215930557907654,39.831510493644714,23.001897853943817,1.6887059334286247,8.986114637759957,7.176431199295896,2.0343844613188056
World,1972,677270400,1258478700,1.8582001,3844917684,104.51749123650514,143.5186791268306,137.31895506946498,125.45126193661073,4.517491236505137,43.51867912683059,37.31895506946498,25.451261936610734,-1.3975976359313802,-3.1691947103094087,-1.7968449423951038,1.9913221872197129
World,1973,699334848,1357015200,1.9404001,3920805041,107.92251344104606,154.75592003188598,143.39344516701152,127.92730056295134,7.922513441046064,54.75592003188598,43.39344516701152,27.927300562951345,3.257849154488368,7.82981070716573,4.423635538497717,1.9737056352543858
World,1974,700898880,1326549500,1.8926,3996416100,108.16387745289956,151.28156879918393,139.8610700561632,130.39432418933114,8.163877452899555,51.28156879918393,39.861070056163186,30.394324189331144,0.2236456547922483,-2.2450522293339104,-2.4634146328893713,1.9284575032253004
World,1975,710954368,1359804000,1.9126,4070735279,109.71565703594169,155.07395870218602,141.3390481820869,132.81919659438702,9.715657035941689,55.07395870218602,41.33904818208691,32.81919659438702,1.4346560234195227,2.5068419987342994,1.0567473317129927,1.8596456710300968
World,1976,722485248,1463711100,2.0259001,4144246382,111.49512155904677,166.9236703770038,149.71180165533548,135.217703245408,11.495121559046765,66.92367037700379,49.71180165533548,35.21770324540799,1.621887496441965,7.6413291915599535,5.92387849001359,1.8058433664116524
World,1977,719085312,1456344200,2.0253,4217863796,110.97043779745808,166.0835387504141,149.66745492166717,137.61967859204321,10.970437797458075,66.0835387504141,49.66745492166717,37.619678592043215,-0.4705889856452816,-0.5033028717210675,-0.029621401371160427,1.7763763834058643
World,1978,714992384,1582019600,2.2126002,4292097499,110.33881036124997,180.41573794197458,163.50873485072418,140.0417621020052,10.338810361249969,80.41573794197458,63.50873485072418,40.04176210200521,-0.5691853152467119,8.629512171641851,9.24802251518293,1.759983408435306
