Area,Item,Element,Year,Value
China,Sugar Crops Primary,Yield,2022,77284.5
China,Sugar Crops Primary,Production,2022,112830279
China,Sugar Crops Primary,Area harvested,2023,1472741
China,Sugar Crops Primary,Yield,2023,77508.2
China,Sugar Crops Primary,Production,2023,114149560.9
China,Vegetables Primary,Area harvested,1961,5002595
China,Vegetables Primary,Yield,1961,10035.3
China,Vegetables Primary,Production,1961,50202520
China,Vegetables Primary,Area harvested,1962,4466694
China,Vegetables Primary,Yield,1962,10492.6
China,Vegetables Primary,Production,1962,46867243
China,Vegetables Primary,Area harvested,1963,3868166
China,Vegetables Primary,Yield,1963,10744.8
China,Vegetables Primary,Production,1963,41562506
China,Vegetables Primary,Area harvested,1964,3477614
China,Vegetables Primary,Yield,1964,10755.9
China,Vegetables Primary,Production,1964,37404966
China,Vegetables Primary,Area harvested,1965,3546408
China,Vegetables Primary,Yield,1965,11197.2
China,Vegetables Primary,Production,1965,39709771
China,Vegetables Primary,Area harvested,1966,3423917
China,Vegetables Primary,Yield,1966,11437.5
China,Vegetables Primary,Production,1966,39161051
China,Vegetables Primary,Area harvested,1967,3429051
China,Vegetables Primary,Yield,1967,11657.9
China,Vegetables Primary,Production,1967,39975396
China,Vegetables Primary,Area harvested,1968,3363400
China,Vegetables Primary,Yield,1968,12574.5
China,Vegetables Primary,Production,1968,42293193
China,Vegetables Primary,Area harvested,1969,3331601
China,Vegetables Primary,Yield,1969,13124.1
China,Vegetables Primary,Production,1969,43724295
China,Vegetables Primary,Area harvested,1970,2538923
China,Vegetables Primary,Yield,1970,14284.9
China,Vegetables Primary,Production,1970,36268319
China,Vegetables Primary,Area harvested,1971,2805033
China,Vegetables Primary,Yield,1971,14387.8
China,Vegetables Primary,Production,1971,40358252
China,Vegetables Primary,Area harvested,1972,2716653
China,Vegetables Primary,Yield,1972,13688.7
China,Vegetables Primary,Production,1972,37187480
China,Vegetables Primary,Area harvested,1973,2981553
China,Vegetables Primary,Yield,1973,13901
China,Vegetables Primary,Production,1973,41446498
China,Vegetables Primary,Area harvested,1974,2914638
China,Vegetables Primary,Yield,1974,14299.2
China,Vegetables Primary,Production,1974,41677121
China,Vegetables Primary,Area harvested,1975,3024772
China,Vegetables Primary,Yield,1975,14292.4
China,Vegetables Primary,Production,1975,43231227
China,Vegetables Primary,Area harvested,1976,3017661
China,Vegetables Primary,Yield,1976,14218.4
China,Vegetables Primary,Production,1976,42906303
China,Vegetables Primary,Area harvested,1977,3166760
China,Vegetables Primary,Yield,1977,14246.1
China,Vegetables Primary,Production,1977,45113985
China,Vegetables Primary,Area harvested,1978,3567420
China,Vegetables Primary,Yield,1978,14086.4
China,Vegetables Primary,Production,1978,50252158
China,Vegetables Primary,Area harvested,1979,3542723
China,Vegetables Primary,Yield,1979,14373.7
China,Vegetables Primary,Production,1979,50922197
China,Vegetables Primary,Area harvested,1980,3466192
China,Vegetables Primary,Yield,1980,14289
China,Vegetables Primary,Production,1980,49528582
China,Vegetables Primary,Area harvested,1981,3760174
China,Vegetables Primary,Yield,1981,15075.1
China,Vegetables Primary,Production,1981,56684920
China,Vegetables Primary,Area harvested,1982,4168030
China,Vegetables Primary,Yield,1982,14749.1
China,Vegetables Primary,Production,1982,61474781
China,Vegetables Primary,Area harvested,1983,4395244
China,Vegetables Primary,Yield,1983,15788.4
China,Vegetables Primary,Production,1983,69393722
China,Vegetables Primary,Area harvested,1984,4535787
China,Vegetables Primary,Yield,1984,17361.3
China,Vegetables Primary,Production,1984,78747113
China,Vegetables Primary,Area harvested,1985,5109069
China,Vegetables Primary,Yield,1985,15762.5
China,Vegetables Primary,Production,1985,80531494
China,Vegetables Primary,Area harvested,1986,5689050
China,Vegetables Primary,Yield,1986,16945.1
China,Vegetables Primary,Production,1986,96401422
China,Vegetables Primary,Area harvested,1987,5986717
China,Vegetables Primary,Yield,1987,16713.7
China,Vegetables Primary,Production,1987,100060235
China,Vegetables Primary,Area harvested,1988,6445896
China,Vegetables Primary,Yield,1988,16733.2
China,Vegetables Primary,Production,1988,107860654
China,Vegetables Primary,Area harvested,1989,6778234
China,Vegetables Primary,Yield,1989,16551.8
China,Vegetables Primary,Production,1989,112191813
China,Vegetables Primary,Area harvested,1990,6840286
China,Vegetables Primary,Yield,1990,17233.4
China,Vegetables Primary,Production,1990,117881447.6
China,Vegetables Primary,Area harvested,1991,7127898
China,Vegetables Primary,Yield,1991,16880.7
China,Vegetables Primary,Production,1991,120323622.7
China,Vegetables Primary,Area harvested,1992,7324861
China,Vegetables Primary,Yield,1992,18143.8
China,Vegetables Primary,Production,1992,132901081
China,Vegetables Primary,Area harvested,1993,8653123
China,Vegetables Primary,Yield,1993,17915.6
China,Vegetables Primary,Production,1993,155026089
China,Vegetables Primary,Area harvested,1994,9536112
China,Vegetables Primary,Yield,1994,18014
China,Vegetables Primary,Production,1994,171783090.3
China,Vegetables Primary,Area harvested,1995,10169007
China,Vegetables Primary,Yield,1995,18212.4
China,Vegetables Primary,Production,1995,185201934.9
China,Vegetables Primary,Area harvested,1996,11159865
China,Vegetables Primary,Yield,1996,18265.9
China,Vegetables Primary,Production,1996,203844573.4
China,Vegetables Primary,Area harvested,1997,12029677
China,Vegetables Primary,Yield,1997,17526.4
China,Vegetables Primary,Production,1997,210836460.2
China,Vegetables Primary,Area harvested,1998,12893913
China,Vegetables Primary,Yield,1998,17000.9
China,Vegetables Primary,Production,1998,219207836
China,Vegetables Primary,Area harvested,1999,14318444
China,Vegetables Primary,Yield,1999,16551.4
China,Vegetables Primary,Production,1999,236989752.4
China,Vegetables Primary,Area harvested,2000,15949564
China,Vegetables Primary,Yield,2000,19125.7
China,Vegetables Primary,Production,2000,305046307.4
China,Vegetables Primary,Area harvested,2001,16701964
China,Vegetables Primary,Yield,2001,19141.4
China,Vegetables Primary,Production,2001,319698929.7
China,Vegetables Primary,Area harvested,2002,17446867
China,Vegetables Primary,Yield,2002,19746.3
China,Vegetables Primary,Production,2002,344510980.7
China,Vegetables Primary,Area harvested,2003,17926718
China,Vegetables Primary,Yield,2003,19912.5
China,Vegetables Primary,Production,2003,356965280.4
China,Vegetables Primary,Area harvested,2004,18756067
China,Vegetables Primary,Yield,2004,19521
China,Vegetables Primary,Production,2004,366136942.1
China,Vegetables Primary,Area harvested,2005,19305133
China,Vegetables Primary,Yield,2005,19716.2
China,Vegetables Primary,Production,2005,380623696
China,Vegetables Primary,Area harvested,2006,19550495
China,Vegetables Primary,Yield,2006,20273.7
China,Vegetables Primary,Production,2006,396361128.9
China,Vegetables Primary,Area harvested,2007,20009841
China,Vegetables Primary,Yield,2007,21158
China,Vegetables Primary,Production,2007,423367898.2
China,Vegetables Primary,Area harvested,2008,19972727
China,Vegetables Primary,Yield,2008,22355.4
China,Vegetables Primary,Production,2008,446498509.5
China,Vegetables Primary,Area harvested,2009,20552498
China,Vegetables Primary,Yield,2009,22429.5
China,Vegetables Primary,Production,2009,460983124.9
China,Vegetables Primary,Area harvested,2010,21196996
China,Vegetables Primary,Yield,2010,22501.3
China,Vegetables Primary,Production,2010,476960772.4
China,Vegetables Primary,Area harvested,2011,21796811
China,Vegetables Primary,Yield,2011,22843.2
China,Vegetables Primary,Production,2011,497909711.3
China,Vegetables Primary,Area harvested,2012,22007461
China,Vegetables Primary,Yield,2012,23080.1
China,Vegetables Primary,Production,2012,507933791
China,Vegetables Primary,Area harvested,2013,22066696
China,Vegetables Primary,Yield,2013,23584.2
China,Vegetables Primary,Production,2013,520424596.1
China,Vegetables Primary,Area harvested,2014,22481830
China,Vegetables Primary,Yield,2014,23728.5
China,Vegetables Primary,Production,2014,533459392.3
China,Vegetables Primary,Area harvested,2015,23496933
China,Vegetables Primary,Yield,2015,24010.8
China,Vegetables Primary,Production,2015,564181099.2
China,Vegetables Primary,Area harvested,2016,22864236
China,Vegetables Primary,Yield,2016,24481
China,Vegetables Primary,Production,2016,559740270.4
China,Vegetables Primary,Area harvested,2017,23162907
China,Vegetables Primary,Yield,2017,24583.3
China,Vegetables Primary,Production,2017,569421823.4
China,Vegetables Primary,Area harvested,2018,23343131
China,Vegetables Primary,Yield,2018,24780.7
China,Vegetables Primary,Production,2018,578458232.7
China,Vegetables Primary,Area harvested,2019,23564835
China,Vegetables Primary,Yield,2019,24984.2
China,Vegetables Primary,Production,2019,588747704.7
China,Vegetables Primary,Area harvested,2020,23536523
China,Vegetables Primary,Yield,2020,25302.2
China,Vegetables Primary,Production,2020,595526487.3
China,Vegetables Primary,Area harvested,2021,23635426
China,Vegetables Primary,Yield,2021,25516.9
China,Vegetables Primary,Production,2021,603102205.1
China,Vegetables Primary,Area harvested,2022,23746039
China,Vegetables Primary,Yield,2022,25814
China,Vegetables Primary,Production,2022,612979132.3
China,Vegetables Primary,Area harvested,2023,23805403
China,Vegetables Primary,Yield,2023,26101.9
China,Vegetables Primary,Production,2023,621365795.6
