Year,Item,Area harvested,Yield,Production
1961,Sugar Crops Primary,499100,26473,13212694
1962,Sugar Crops Primary,334900,30362.2,10168314
1963,Sugar Crops Primary,360482,41821.6,15075929
1964,Sugar Crops Primary,529683,38645.1,20469654
1965,Sugar Crops Primary,635928,39474.1,25102700
1966,Sugar Crops Primary,648924,35759.1,23204970
1967,Sugar Crops Primary,620952,35820.7,22242930
1968,Sugar Crops Primary,590948,35609.1,21043100
1969,Sugar Crops Primary,610581,32960,20124720
1970,Sugar Crops Primary,676262,32244.5,21805758
1971,Sugar Crops Primary,738603,31718.3,23427216
1972,Sugar Crops Primary,837415,31176.6,26107793
1973,Sugar Crops Primary,892326,30714.4,27407274
1974,Sugar Crops Primary,863500,32272,27866897
1975,Sugar Crops Primary,928899,29111.7,27041824
1976,Sugar Crops Primary,1010200,28254.4,28542645
1977,Sugar Crops Primary,981672,32098.2,31509866
1978,Sugar Crops Primary,990022,32419.9,32096391
1979,Sugar Crops Primary,947365,36197.6,34292369
1980,Sugar Crops Primary,1033614,37037.6,38282589
1981,Sugar Crops Primary,1093666,40907.9,44739599
1982,Sugar Crops Primary,1220082,42782.7,52198381
1983,Sugar Crops Primary,1292066,36999.5,47805778
1984,Sugar Crops Primary,1316354,41595.2,54754036
1985,Sugar Crops Primary,1612459,41942.1,67629871
1986,Sugar Crops Primary,1537585,42137.1,64789312
1987,Sugar Crops Primary,1422464,42849.2,60951505
1988,Sugar Crops Primary,1743000,39513.9,68872765
1989,Sugar Crops Primary,1598962,40581.7,64888527
1990,Sugar Crops Primary,1747777,44614.1,77975580
1991,Sugar Crops Primary,2010600,44257.5,88984122
1992,Sugar Crops Primary,1969897,47686.4,93937353
1993,Sugar Crops Primary,1751203,46279.8,81045310
1994,Sugar Crops Primary,1817808,43434.7,78955971
1995,Sugar Crops Primary,1880456,44810,84263210
1996,Sugar Crops Primary,1900182,46304.4,87986748
1997,Sugar Crops Primary,1973265,49652.3,97977089
1998,Sugar Crops Primary,2031955,50035.7,101670223
1999,Sugar Crops Primary,1686199,51445.2,86746790
2000,Sugar Crops Primary,1552584,51122.5,79372030
2001,Sugar Crops Primary,1687238,52662.6,88854289
2002,Sugar Crops Primary,1844820,56928.3,105022531
2003,Sugar Crops Primary,1680230,58456.8,98220800
2004,Sugar Crops Primary,1582959,61215.5,96901550
2005,Sugar Crops Primary,1575757,60580,95459312
2006,Sugar Crops Primary,1577940,66741.4,105313957
2007,Sugar Crops Primary,1812343,67681.8,122662617
2008,Sugar Crops Primary,2000450,67465.7,134961702
2009,Sugar Crops Primary,1893872,65173.3,123429972
2010,Sugar Crops Primary,1914844,63084.7,120797383
2011,Sugar Crops Primary,1956975,64310.5,125853960
2012,Sugar Crops Primary,2039113,66417,135431817
2013,Sugar Crops Primary,2006783,68764.3,137994938
2014,Sugar Crops Primary,1907168,70341.9,134153869
2015,Sugar Crops Primary,1581466,71336.9,112816911
2016,Sugar Crops Primary,1565642,71749.1,112333445
2017,Sugar Crops Primary,1553892,73550.9,114290105
2018,Sugar Crops Primary,1631103,73567.1,119995571
2019,Sugar Crops Primary,1618283,75534.6,122236347
2020,Sugar Crops Primary,1574676,76609.9,120635796
2021,Sugar Crops Primary,1465669,78537.1,115109424
2022,Sugar Crops Primary,1459935,77284.5,112830279
2023,Sugar Crops Primary,1472741,77508.2,114149560.9
1961,Vegetables Primary,5002595,10035.3,50202520
1962,Vegetables Primary,4466694,10492.6,46867243
1963,Vegetables Primary,3868166,10744.8,41562506
1964,Vegetables Primary,3477614,10755.9,37404966
1965,Vegetables Primary,3546408,11197.2,39709771
1966,Vegetables Primary,3423917,11437.5,39161051
1967,Vegetables Primary,3429051,11657.9,39975396
1968,Vegetables Primary,3363400,12574.5,42293193
1969,Vegetables Primary,3331601,13124.1,43724295
1970,Vegetables Primary,2538923,14284.9,36268319
1971,Vegetables Primary,2805033,14387.8,40358252
1972,Vegetables Primary,2716653,13688.7,37187480
1973,Vegetables Primary,2981553,13901,41446498
1974,Vegetables Primary,2914638,14299.2,41677121
1975,Vegetables Primary,3024772,14292.4,43231227
1976,Vegetables Primary,3017661,14218.4,42906303
1977,Vegetables Primary,3166760,14246.1,45113985
1978,Vegetables Primary,3567420,14086.4,50252158
1979,Vegetables Primary,3542723,14373.7,50922197
1980,Vegetables Primary,3466192,14289,49528582
1981,Vegetables Primary,3760174,15075.1,56684920
1982,Vegetables Primary,4168030,14749.1,61474781
1983,Vegetables Primary,4395244,15788.4,69393722
1984,Vegetables Primary,4535787,17361.3,78747113
1985,Vegetables Primary,5109069,15762.5,80531494
1986,Vegetables Primary,5689050,16945.1,96401422
1987,Vegetables Primary,5986717,16713.7,100060235
1988,Vegetables Primary,6445896,16733.2,107860654
1989,Vegetables Primary,6778234,16551.8,112191813
1990,Vegetables Primary,6840286,17233.4,117881447.6
1991,Vegetables Primary,7127898,16880.7,120323622.7
1992,Vegetables Primary,7324861,18143.8,132901081
1993,Vegetables Primary,8653123,17915.6,155026089
1994,Vegetables Primary,9536112,18014,171783090.3
1995,Vegetables Primary,10169007,18212.4,185201934.9
1996,Vegetables Primary,11159865,18265.9,203844573.4
1997,Vegetables Primary,12029677,17526.4,210836460.2
1998,Vegetables Primary,12893913,17000.9,219207836
1999,Vegetables Primary,14318444,16551.4,236989752.4
2000,Vegetables Primary,15949564,19125.7,305046307.4
2001,Vegetables Primary,16701964,19141.4,319698929.7
2002,Vegetables Primary,17446867,19746.3,344510980.7
2003,Vegetables Primary,17926718,19912.5,356965280.4
2004,Vegetables Primary,18756067,19521,366136942.1
2005,Vegetables Primary,19305133,19716.2,380623696
2006,Vegetables Primary,19550495,20273.7,396361128.9
2007,Vegetables Primary,20009841,21158,423367898.2
2008,Vegetables Primary,19972727,22355.4,446498509.5
2009,Vegetables Primary,20552498,22429.5,460983124.9
2010,Vegetables Primary,21196996,22501.3,476960772.4
2011,Vegetables Primary,21796811,22843.2,497909711.3
2012,Vegetables Primary,22007461,23080.1,507933791
2013,Vegetables Primary,22066696,23584.2,520424596.1
2014,Vegetables Primary,22481830,23728.5,533459392.3
2015,Vegetables Primary,23496933,24010.8,564181099.2
2016,Vegetables Primary,22864236,24481,559740270.4
2017,Vegetables Primary,23162907,24583.3,569421823.4
2018,Vegetables Primary,23343131,24780.7,578458232.7
2019,Vegetables Primary,23564835,24984.2,588747704.7
2020,Vegetables Primary,23536523,25302.2,595526487.3
2021,Vegetables Primary,23635426,25516.9,603102205.1
2022,Vegetables Primary,23746039,25814,612979132.3
2023,Vegetables Primary,23805403,26101.9,621365795.6.
